open,high,low,close,volume
424.26,429.23,420.1,426.75,2960067
426.75,427.2,424.28,425.67,3536365
425.67,426.1,415.26,417.95,2521274
417.95,433.11,411.69,426.47,1970253
426.47,428.59,422.52,426.81,1849149
426.81,431.44,413.38,414.87,3989811
414.87,423.36,411.78,421.75,3774110
421.75,433.07,418.64,430.41,1815817
430.41,436.09,427.94,431.39,4222297
431.39,433.23,415.91,418.19,4378680
418.19,433.94,415.09,427.94,4546329
427.94,433.73,424.5,430.0,591218
430.0,436.69,423.87,426.26,1012381
426.26,427.87,399.48,403.0,3926330
403.0,406.47,395.27,399.65,4606936
399.65,413.18,399.08,407.17,2711159
407.17,414.81,401.19,409.06,2282462
409.06,416.82,403.16,411.33,4324807
411.33,418.19,398.29,403.78,3613814
403.78,409.78,399.46,407.63,3330276
407.63,413.54,402.91,411.05,755848
411.05,415.22,404.9,411.78,4177179
411.78,418.57,409.54,416.63,1510987
416.63,420.1,403.89,410.43,1208748
410.43,420.49,407.15,418.87,3697459
418.87,422.97,407.17,411.77,690574
411.77,414.98,398.36,404.51,729967
404.51,406.64,397.18,397.96,2622718
397.96,404.9,397.3,398.89,858836
398.89,403.91,380.75,383.97,668395
383.97,388.95,375.47,380.8,3243973
380.8,400.57,374.5,394.9,2055093
394.9,401.99,389.27,396.09,2519726
396.09,400.8,394.18,397.01,3033774
397.01,402.86,394.46,399.06,1426749
399.06,400.48,397.79,399.56,4972096
399.56,403.34,388.51,392.97,4564008
392.97,399.27,382.53,385.91,1444634
385.91,387.16,376.56,377.39,4931248
377.39,383.17,368.69,372.79,681303
372.79,373.95,370.53,372.59,3017035
372.59,378.82,358.71,364.65,1335763
364.65,370.89,359.81,365.14,4757970
365.14,367.15,363.1,363.83,3144868
363.83,364.22,359.53,360.8,1890295
360.8,367.31,358.28,363.2,4506033
363.2,370.65,357.36,367.55,3680810
367.55,377.21,365.42,372.47,1671953
372.47,381.05,370.73,379.47,1933503
379.47,388.36,377.79,384.76,4236424
384.76,398.28,382.84,396.3,1000000
398.28,400.28,377.09,378.99,1500000
