open,high,low,close,volume
253.51,260.62,252.9,257.29,4870988
257.29,270.12,256.92,267.07,3467780
267.07,270.15,260.34,262.08,2070736
262.08,263.88,255.89,257.54,4724936
257.54,257.91,244.0,247.82,2709278
247.82,250.57,245.4,246.3,957537
246.3,254.8,245.39,253.16,4609232
253.16,258.01,251.37,257.41,4046020
257.41,260.59,254.18,258.25,4721537
258.25,259.75,249.98,250.32,4673372
250.32,259.7,245.66,256.35,4649136
256.35,261.72,255.0,259.0,2640751
259.0,262.91,253.2,257.94,4694859
257.94,272.46,255.91,269.69,4207460
269.69,271.08,265.49,266.42,1010080
266.42,269.39,258.0,260.52,1442849
260.52,263.15,252.92,255.06,4846596
255.06,255.69,243.32,247.55,740882
247.55,252.89,244.66,249.0,3182345
249.0,249.48,245.63,247.32,4846657
247.32,249.15,235.52,237.68,2283177
237.68,239.77,235.25,235.86,698457
235.86,238.45,229.14,230.09,3952732
230.09,235.37,229.0,231.28,706698
231.28,234.83,221.5,225.55,2836261
225.55,228.72,222.32,225.94,662009
225.94,236.41,224.74,235.19,2612093
235.19,236.8,228.17,231.34,649232
231.34,237.22,229.45,233.63,616964
233.63,234.52,225.78,228.82,4376638
228.82,230.75,224.93,229.69,691360
229.69,233.67,220.92,222.91,971887
222.91,224.1,209.94,212.28,4835636
212.28,217.12,210.71,216.83,4667352
216.83,217.18,214.64,216.88,2610292
216.88,221.57,213.59,217.53,1221299
217.53,217.89,214.36,215.81,1629287
215.81,217.16,209.66,211.52,4653174
211.52,213.73,201.41,202.94,2205511
202.94,205.56,202.36,204.64,1262991
204.64,212.79,200.84,209.52,3625605
209.52,213.15,208.53,212.7,4583896
212.7,216.46,209.52,211.78,2186487
211.78,216.03,210.13,214.27,4566890
214.27,216.93,211.78,213.53,1403048
213.53,215.79,209.39,212.09,2031827
212.09,214.2,210.74,211.99,4451381
211.99,218.91,208.6,215.42,3169188
215.42,217.49,212.35,215.62,567708
215.62,218.42,214.79,216.98,2528198
216.98,218.06,209.42,210.47,1000000
209.42,221.34,208.37,220.23,1500000
