open,high,low,close,volume
372.17,380.66,370.4,373.6,1222804
373.6,380.09,365.52,370.97,633403
370.97,371.59,363.18,364.21,1813050
364.21,373.7,360.54,367.52,3960599
367.52,372.81,364.22,364.93,4854066
364.93,372.67,360.81,366.5,3841240
366.5,386.65,364.14,379.79,1913068
379.79,388.57,379.34,382.46,2929507
382.46,392.6,381.47,386.1,507808
386.1,392.77,385.22,386.75,3996408
386.75,397.95,383.15,392.75,2303960
392.75,395.34,391.45,394.13,4959580
394.13,404.34,392.77,399.18,1612385
399.18,400.42,385.92,391.84,2591654
391.84,407.19,385.86,400.5,654688
400.5,407.15,395.94,400.19,2022109
400.19,415.07,394.34,409.6,1088967
409.6,415.58,399.82,407.28,822464
407.28,412.07,398.07,402.85,3674861
402.85,405.66,394.06,397.18,1199060
397.18,401.42,388.2,389.45,4180375
389.45,393.2,375.55,381.3,4031137
381.3,387.82,377.14,382.4,2738727
382.4,399.22,375.6,396.4,1673672
396.4,398.61,391.23,392.92,2060864
392.92,411.63,388.29,406.42,3585242
406.42,411.63,403.06,404.06,4829438
404.06,406.05,394.04,400.69,1554631
400.69,406.19,393.8,404.31,1556147
404.31,412.31,400.09,405.77,3321283
405.77,408.2,393.43,398.38,2687726
398.38,405.77,395.3,405.19,4672240
405.19,410.63,390.99,392.41,3054659
392.41,399.5,385.94,391.54,2041984
391.54,396.68,381.79,382.19,1075704
382.19,384.92,363.99,364.69,2468537
364.69,372.23,362.07,368.91,1076678
368.91,374.16,365.37,367.46,4047690
367.46,376.86,362.92,375.35,4827265
375.35,377.48,367.0,373.75,1200376
373.75,377.96,368.62,373.63,4593782
373.63,381.3,367.26,380.15,1457194
380.15,380.72,360.82,363.36,4517674
363.36,369.5,361.58,366.98,2399557
366.98,384.11,360.48,379.87,4172692
379.87,382.97,373.37,380.61,1238383
380.61,392.25,378.28,391.46,536417
391.46,393.21,383.77,388.24,2652731
388.24,389.94,362.12,366.99,3366246
366.99,368.07,347.99,354.27,2222633
354.27,361.36,347.18,354.31,1000000
