open,high,low,close,volume
411.98,416.7,408.57,414.95,4332073
414.95,422.4,410.99,421.27,4308372
421.27,424.28,420.53,422.8,3283119
422.8,424.18,413.98,418.28,4381945
418.28,420.9,412.14,413.56,3103398
413.56,417.92,407.18,409.81,4741223
409.81,411.92,397.66,400.83,3982992
400.83,404.16,398.95,401.61,3944630
401.61,411.96,401.1,409.58,3256442
409.58,416.2,405.6,415.55,2560480
415.55,419.59,406.0,408.4,4177499
408.4,416.0,406.48,414.08,3699261
414.08,427.38,411.34,423.96,2543941
423.96,428.0,421.36,425.07,3332643
425.07,426.39,419.65,422.11,3927923
422.11,426.57,419.17,423.85,1295112
423.85,428.77,422.74,426.24,4012514
426.24,431.66,424.77,427.37,4576042
427.37,435.78,426.35,432.44,2393903
432.44,435.88,430.89,432.5,4354449
432.5,434.24,431.65,432.92,4757405
432.92,434.04,430.86,432.07,4811686
432.07,436.06,429.73,433.73,918472
433.73,439.21,431.48,436.77,3700411
436.77,438.47,432.33,436.44,2182160
436.44,448.33,432.05,444.34,1387836
444.34,446.82,443.8,445.67,1211442
445.67,452.9,442.54,448.21,4272589
448.21,450.63,447.64,449.28,3440608
449.28,453.79,446.63,452.72,4770386
452.72,460.42,450.08,457.95,1649821
457.95,463.38,453.26,461.23,3220351
461.23,462.73,452.46,454.71,1145904
454.71,456.56,449.9,451.74,605516
451.74,452.27,445.08,449.65,2736855
449.65,457.09,446.37,452.64,530419
452.64,458.08,449.44,457.35,3032460
457.35,465.2,455.05,462.08,2361212
462.08,464.35,455.96,460.84,4761071
460.84,462.61,453.95,458.28,1257136
458.28,462.68,454.58,460.57,2721295
460.57,466.11,457.42,464.78,4784470
464.78,467.58,463.68,465.0,4796943
465.0,467.54,458.72,459.76,2632297
459.76,461.69,454.99,457.52,4272282
457.52,460.73,453.59,455.18,1933974
455.18,459.0,446.12,447.42,771542
447.42,449.99,445.09,448.02,4073926
448.02,461.06,447.49,460.42,2561722
460.42,464.18,457.95,460.14,3433430
